,EPIC ID,RA (J2000) [deg],Dec (J2000) [deg],magnitude,Investigation IDs
25840,212095395, 126.975142, 21.93188, 10.106, GO16004_LC|GO16052_LC
8339,211472510, 132.448283, 12.740218, 10.106, GO16009_LC|GO16021_LC|GO16028_LC|GO16033_LC
33979,251384049, 137.580791, 23.744455, 10.107, GO16052_LC
26910,212147214, 136.537962, 22.973069, 10.11, GO16009_LC|GO16020_LC|GO16021_LC|GO16028_LC|GO16083_LC
10327,211538914, 136.968645, 13.686583, 10.11, GO16021_LC|GO16058_LC|GO16065_LC
33277,251358606, 140.823959, 21.801198, 10.11, GO16052_LC
15435,211729028, 136.696459, 16.311704, 10.111, GO16021_LC|GO16033_LC
24119,212042623, 136.383188, 20.970206, 10.111, GO16009_LC|GO16020_LC|GO16021_LC
19616,211884361, 131.045416, 18.49905, 10.111, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
13064,211654198, 135.372344, 15.290847, 10.112, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
25572,212087708, 132.853454, 21.782461, 10.112, GO16009_LC|GO16021_LC|GO16028_LC
19728,211889548, 134.685018, 18.573341, 10.113, GO16021_LC
21755,211945201, 136.573975, 19.402252, 10.115, GO16009_LC|GO16011_LC|GO16015_LC|GO16021_LC|GO16025_LC|GO16028_LC|GO16077_LC|GO16015_SC
19413,211877140, 131.887025, 18.395631, 10.116, GO16021_LC
7045,211433212, 137.317236, 12.143816, 10.117, GO16021_LC
7973,211459479, 132.526116, 12.544374, 10.119, GO16021_LC
6029,211408337, 131.153998, 11.768118, 10.121, GO16052_LC
15978,211744962, 138.782907, 16.537283, 10.122, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
25902,212097252, 135.652202, 21.968337, 10.123, GO16052_LC
24413,212050747, 137.950732, 21.112643, 10.126, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
21886,211948738, 130.026157, 19.454102, 10.126, GO16021_LC|GO16022_LC|GO16065_LC
26697,212121771, 133.09624, 22.451234, 10.126, GO16052_LC
